emd_cd,emd_eng_nm,법정구명,emd_kor_nm,val1
11140000,,,중구,
11170000,,,용산구,
11200000,,,성동구,
11215000,,,광진구,
11230000,,,동대문구,
11260000,,,중랑구,
11290000,,,성북구,
11305000,,,강북구,
11320000,,,도봉구,
11350000,,,노원구,
11380000,,,은평구,
11410000,,,서대문구,
11440000,,,마포구,
11470000,,,양천구,
11500000,,,강서구,
11530000,,,구로구,
11545000,,,금천구,
11560000,,,영등포구,
11590000,,,동작구,
11620000,,,관악구,
11650000,,,서초구,
11680000,,,강남구,
11710000,,,송파구,
11740000,,,강동구,
